ticket_id,flight_id,passenger_id,passenger_first_name,passenger_second_name,order_method,ticket_price,booking_date
71b4b3d1-1730-4761-85aa-f6b452a85aa0,d1c06a68-23b8-4075-a883-e3dcf079473b,e1d8d56d-98ca-44f2-ad68-f5c62bb03df1,Ava,Rodriguez,Agent,1744.57,2025-04-08
7d9c1d7f-e527-4fc3-8699-5c3356ebf40b,073dc301-299d-41bd-98aa-b0406d9661f9,de54d23b-b9ea-4d38-baaa-9af55a4900f0,Benjamin,Miller,Online,1440.74,2025-05-07
c6de8e10-e504-4e60-8322-0a24d87d4280,4ddcee27-fcd9-48f4-9017-5839f5a7128c,3b00ca95-9576-4769-afef-19f44633c4f3,Elijah,Johnson,Agent,63.2,2025-03-08
1a8510c1-a47c-4a6e-9bb9-9510646ac486,10543a64-a850-4f57-8aea-3d77ca9d10ea,71e9d462-a672-4c48-b913-bc1b0481c0c0,William,Smith,Mobile,56.05,2025-04-23
bc327b30-33c6-42c7-8385-8607a6f8f3bc,73c93a2a-cea6-4edf-8628-daf14e93843f,848a371a-76b6-4436-9086-ace1cdc88cf2,Olivia,Jones,Online,1790.52,2025-05-08
91f06c61-a94d-47c9-b712-b30684f44b46,c7f4e16f-9c37-478d-aebf-5d841a090310,b1620746-e169-4dd6-9a2b-69bdf6b06a2d,Elijah,Lopez,Online,1959.95,2025-05-31
5bc71b15-5da5-4377-a67b-d968f507b524,8c9ee759-6398-4473-a36f-0b660f01dba1,9c49697a-d35c-4b20-b516-eb8bd0be7562,Mia,Jones,Agent,650.33,2025-05-29
472f057d-3257-4166-9c33-120a85df9b0c,4335f145-6ca0-4a37-8ed1-7dcb7025bb6b,b54b013e-88fd-431a-9ccd-ec08405a1000,Mia,Brown,Mobile,1379.94,2025-04-22
5bc71b15-5da5-4377-a67b-d968f507b524,8c9ee759-6398-4473-a36f-0b660f01dba1,9c49697a-d35c-4b20-b516-eb8bd0be7562,Mia,Jones,Agent,1196.6,2025-05-29
cd3e6b9a-53ae-49c5-a58c-df81d091c882,19ab1792-ff8b-456f-93a3-75180f224af1,f3defb7a-8d47-4ef3-bdf6-a38405b43ec0,Charlotte,Williams,Agent,254.74,2025-04-12
